"species_1","cluster_1","cluster_1_accession","species_2","cluster_2","cluster_2_accession","dist","similarity"
"marmoset","Inh VIP CYP19A1","CS201912132_10","mouse","Pvalb Il1rapl2","CS202002013_55",26.2332660633716,0.239434729912965
"marmoset","Inh LAMP5 COL5A2","CS201912132_2","mouse","Pvalb Il1rapl2","CS202002013_55",26.9644587410215,0.216699747455551
"marmoset","Inh LAMP5 LOC108591196","CS201912132_6","mouse","Pvalb Il1rapl2","CS202002013_55",26.9907151234223,0.215883357451215
"marmoset","Inh SNCG PLPPR1","CS201912132_8","mouse","Pvalb Il1rapl2","CS202002013_55",27.3047668166566,0.206118544489259
"marmoset","Inh LAMP5 TOX2","CS201912132_3","mouse","Pvalb Il1rapl2","CS202002013_55",27.376601544514,0.203884986457852
"marmoset","Inh SST NPY","CS201912132_1","mouse","Pvalb Il1rapl2","CS202002013_55",28.4357426246169,0.170953100496605
"marmoset","Inh PVALB OSBP2","CS201912132_43","mouse","Pvalb Kank4","CS202002013_51",3.97980491799759,0.931361856950001
"marmoset","Inh PVALB GSTK1","CS201912132_45","mouse","Pvalb Kank4","CS202002013_51",4.7958335186035,0.905989070150286
"marmoset","Inh PVALB LOC103789439","CS201912132_44","mouse","Pvalb Kank4","CS202002013_51",4.85170317239751,0.904251914353006
"marmoset","Inh PVALB LOC103790362","CS201912132_42","mouse","Pvalb Kank4","CS202002013_51",6.65291140008144,0.848246925913898
"marmoset","Inh PVALB C8H7orf62","CS201912132_46","mouse","Pvalb Kank4","CS202002013_51",6.97364989545271,0.838274200135078
"marmoset","Inh PVALB OTOGL","CS201912132_41","mouse","Pvalb Kank4","CS202002013_51",7.01202889396981,0.837080881486396
"marmoset","Inh PVALB ADAMTS3","CS201912132_48","mouse","Pvalb Kank4","CS202002013_51",9.62703230661954,0.75577254986613
"marmoset","Inh PVALB SST LRRC6","CS201912132_47","mouse","Pvalb Kank4","CS202002013_51",12.1950161103533,0.675926199494494
"marmoset","Inh PVALB SST EYS","CS201912132_49","mouse","Pvalb Kank4","CS202002013_51",12.518534857267,0.665867027322027
"marmoset","Inh PVALB KLHL29","CS201912132_51","mouse","Pvalb Kank4","CS202002013_51",14.7172079436582,0.597503659393683
"marmoset","Inh PVALB PCDH19","CS201912132_50","mouse","Pvalb Kank4","CS202002013_51",15.9679014733293,0.558615830883059
"marmoset","Inh PVALB FAM19A4","CS201912132_52","mouse","Pvalb Kank4","CS202002013_51",19.430261162639,0.450960640666012
"marmoset","Inh SST VAPA","CS201912132_39","mouse","Pvalb Kank4","CS202002013_51",19.8464641386052,0.438019636678215
"marmoset","Inh SST LOC108589054","CS201912132_27","mouse","Pvalb Kank4","CS202002013_51",19.9180115934725,0.435795010829241
"marmoset","Inh SST LOC103788660","CS201912132_32","mouse","Pvalb Kank4","CS202002013_51",20.5319466025075,0.416705922430183
"marmoset","Inh SST KIRREL3","CS201912132_31","mouse","Pvalb Kank4","CS202002013_51",20.5815703223121,0.41516297153131
"marmoset","Inh SST P4HA1","CS201912132_36","mouse","Pvalb Kank4","CS202002013_51",20.8207908640869,0.407724884434783
"marmoset","Inh SST ABI3BP","CS201912132_34","mouse","Pvalb Kank4","CS202002013_51",21.2258359728672,0.395130812141583
"marmoset","Inh SST TMEFF2","CS201912132_35","mouse","Pvalb Kank4","CS202002013_51",21.4691626962453,0.387565051492555
"marmoset","Inh SST MPP5","CS201912132_30","mouse","Pvalb Kank4","CS202002013_51",22.5684346261394,0.35338537655052
"marmoset","Inh SST PCSK5","CS201912132_40","mouse","Pvalb Kank4","CS202002013_51",22.7959558471452,0.346311056571166
"marmoset","Inh SST AIM1","CS201912132_38","mouse","Pvalb Kank4","CS202002013_51",22.9776958552598,0.340660212378394
"marmoset","Inh SST CBLN4","CS201912132_33","mouse","Pvalb Kank4","CS202002013_51",23.3157679756426,0.33014853199485
"marmoset","Inh PAX6 MEIS2","CS201912132_26","mouse","Pvalb Kank4","CS202002013_51",23.3282407844226,0.329760714805926
"marmoset","Inh SST LOC108588801","CS201912132_28","mouse","Pvalb Kank4","CS202002013_51",23.4112640699133,0.327179270821483
"marmoset","Inh SST LOC103788138","CS201912132_29","mouse","Pvalb Kank4","CS202002013_51",23.9055162807125,0.311811481064379
"marmoset","Inh SST LTBP1","CS201912132_37","mouse","Pvalb Kank4","CS202002013_51",23.9125581545257,0.311592527999743
"marmoset","Inh PAX6 ANKRD6","CS201912132_9","mouse","Pvalb Kank4","CS202002013_51",24.0295756065538,0.307954102998524
"marmoset","Inh VIP LOC108589153","CS201912132_19","mouse","Pvalb Kank4","CS202002013_51",24.0427649450848,0.307544006741692
